,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
207,7763,1925,1.0,1,660,10,1.0,55,1,1,1,1,1,1,0,1,Sunnyside,Queens
208,5705,3975,2.0,2,913,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
209,5851,2195,1.0,1,700,5,3.0,51,0,0,0,0,0,0,0,0,Astoria,Queens
210,6574,3200,2.0,1,858,10,3.0,6,1,0,0,0,0,0,0,0,Astoria,Queens
211,5501,2250,2.0,1,780,5,4.0,92,0,0,0,0,0,0,0,0,Astoria,Queens
212,6979,3400,1.0,1,890,2,5.0,8,0,0,1,1,1,1,0,1,Long Island City,Queens
213,8956,3200,1.0,1,718,3,22.0,2,1,0,0,0,0,0,0,0,Long Island City,Queens
214,3476,2600,2.0,2,1200,7,2.0,58,1,0,0,0,0,0,0,0,Flushing,Queens
215,3183,2700,2.0,1,720,3,3.0,6,1,0,0,0,0,0,0,0,Long Island City,Queens
216,10228,3150,1.0,1,761,2,7.0,4,1,1,0,0,1,0,0,0,Long Island City,Queens
217,3201,2325,0.0,1,418,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
218,8126,1999,3.0,1,1000,11,2.0,86,0,0,0,0,0,0,0,0,Glendale,Queens
219,1957,2900,1.0,1,936,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
220,6731,1750,1.0,1,921,2,3.0,68,0,0,0,0,0,0,0,0,Rego Park,Queens
221,4754,3117,1.0,1,702,3,7.0,16,1,0,0,0,0,0,0,0,Long Island City,Queens
222,7449,1695,0.0,1,430,17,2.0,27,0,0,0,0,0,0,0,0,Astoria,Queens
223,3153,1799,2.0,1,800,14,2.0,20,0,0,0,0,0,0,0,0,Astoria,Queens
224,6629,1725,1.0,1,650,4,5.0,50,1,0,0,0,0,0,0,0,Briarwood,Queens
225,2606,3475,2.0,2,964,6,25.0,1,1,0,0,0,0,0,0,0,Rego Park,Queens
226,10109,1500,1.0,1,450,7,2.0,76,1,0,0,0,0,0,0,0,Ridgewood,Queens
227,7970,1900,1.0,1,875,4,4.0,55,0,1,1,0,1,1,1,1,Forest Hills,Queens
228,5284,2200,1.0,1,500,3,8.0,88,0,0,0,0,0,0,0,0,Long Island City,Queens
229,5376,1450,1.0,1,525,20,3.0,85,0,0,0,0,0,0,0,0,Flushing,Queens
230,10025,2895,3.0,1,1100,3,2.0,51,0,0,0,0,0,0,0,0,Astoria,Queens
231,10719,3350,1.0,1,863,3,9.0,20,0,0,0,0,0,0,0,0,Long Island City,Queens
232,6499,2625,1.0,1,625,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
233,5756,3225,1.0,1,710,6,8.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
234,2132,2400,1.0,1,675,17,14.0,27,0,1,0,1,1,0,0,1,Astoria,Queens
235,2608,2380,0.0,1,516,6,26.0,1,1,0,0,0,0,0,0,0,Rego Park,Queens
236,6955,1605,0.0,1,486,6,12.0,57,1,0,0,0,0,0,0,0,Rego Park,Queens
237,2647,2200,1.0,1,550,16,3.0,9,0,0,0,1,0,0,0,0,Astoria,Queens
238,10795,1585,0.0,1,660,5,1.0,31,0,0,0,0,0,0,0,0,Rego Park,Queens
239,8282,3750,3.0,2,1000,5,3.0,7,0,0,1,0,0,1,0,0,Astoria,Queens
240,7830,1750,1.0,1,714,6,3.0,13,0,0,0,0,0,0,0,0,Briarwood,Queens
241,3633,2000,1.0,1,618,2,3.0,96,0,0,0,0,0,0,0,0,Elmhurst,Queens
242,10840,3000,3.0,1,900,8,2.0,85,0,0,0,0,0,0,0,0,Astoria,Queens
243,5529,2950,1.0,1,718,9,4.0,2,1,0,0,0,0,0,0,0,Long Island City,Queens
244,2498,1750,1.0,1,700,7,4.0,89,0,0,0,0,0,0,0,0,Astoria,Queens
245,72,3250,1.0,1,652,1,4.0,0,1,0,0,0,0,0,0,0,Astoria,Queens
246,10068,1900,1.0,1,700,4,1.0,81,0,0,0,0,0,0,0,0,Astoria,Queens
247,6634,2600,2.0,1,1200,6,6.0,89,0,0,0,0,0,0,0,0,Astoria,Queens
248,6834,2200,0.0,1,500,3,6.0,88,0,0,0,0,0,0,0,0,Long Island City,Queens
249,8166,2800,1.0,1,854,6,4.0,16,1,0,0,0,0,0,1,0,Astoria,Queens
250,5457,3600,2.0,1,2000,9,6.0,9,0,0,0,0,1,1,0,0,Astoria,Queens
251,4314,1975,1.0,1,788,2,2.0,65,1,0,0,0,0,0,0,0,Rego Park,Queens
252,7351,2250,2.0,1,1000,14,5.0,60,1,0,0,0,0,0,0,0,Flushing,Queens
253,9427,2295,1.0,1,758,3,3.0,7,0,0,0,0,0,0,0,0,Astoria,Queens
254,9634,1725,1.0,1,600,13,2.0,86,0,0,0,0,0,0,0,0,Astoria,Queens
255,5578,3000,1.0,1,608,1,11.0,8,0,0,0,0,0,0,0,0,Long Island City,Queens
256,6401,1850,1.0,1,700,2,4.0,11,0,0,0,0,0,0,0,0,Astoria,Queens
257,9878,2575,1.0,1,750,6,2.0,89,0,0,0,0,0,0,0,0,Astoria,Queens
258,708,8000,3.0,3,1800,2,1.0,16,0,0,0,0,0,0,0,0,Flushing,Queens
259,4558,2175,2.0,2,1000,2,4.0,14,0,0,0,0,0,0,0,0,Forest Hills,Queens
260,7787,2950,2.0,1,1200,8,5.0,69,1,0,0,0,0,0,0,0,Jackson Heights,Queens
261,5378,2485,1.0,1,620,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
262,6795,1575,0.0,1,495,6,5.0,56,1,1,1,1,1,1,0,1,Kew Gardens,Queens
263,3164,2100,1.0,1,900,5,2.0,77,0,0,0,0,0,0,0,0,Astoria,Queens
264,5758,3175,1.0,1,627,6,13.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
265,8578,2050,1.0,1,750,4,5.0,88,0,0,0,0,0,0,0,0,Sunnyside,Queens
266,5479,1725,1.0,1,550,2,3.0,7,1,0,0,0,0,0,0,0,Sunnyside,Queens
267,1956,2095,2.0,1,1000,3,6.0,77,0,0,1,0,0,0,0,0,Forest Hills,Queens
268,10868,2300,1.0,1,800,3,2.0,85,0,0,0,0,0,0,0,0,Long Island City,Queens
269,3765,3193,1.0,1,702,3,21.0,16,1,0,0,0,0,0,0,0,Long Island City,Queens
270,1628,3575,2.0,2,933,43,9.0,8,0,0,0,0,0,0,0,0,Long Island City,Queens
271,7379,2900,3.0,2,1200,16,3.0,11,0,0,0,0,0,0,0,0,Astoria,Queens
